latitude,longitude,region,state,postcode,geometry,flood_risk,distance,kawasan_banjir,latitude_kb,longitude_kb,kedalaman_banjir,month_kb
6.402858214,100.0987772,Kangar,Perlis,1000,POINT (11142944.906933343 714251.0946146951),False,4245.737601259059,Kampung Nelayan,6.404,100.1369,0.6,4.0
6.365790268,100.1884449,Kangar,Perlis,1000,POINT (11152926.669637946 710098.9597010214),False,4532.533862903448,Kampung Sentua,6.4051,100.1981,0.2,10.0
6.360279611,100.2123951,Kangar,Perlis,1000,POINT (11155592.793706343 709481.7137045604),False,5266.664356028389,Kampung Sentua,6.4051,100.1981,0.2,10.0
6.557335216,100.3141054,Kangar,Perlis,1000,POINT (11166915.132510776 731557.9727265495),False,8652.136771079866,Taman Beseri Jaya,6.559,100.2364,0.6,5.0
6.39577126,100.230483,Kangar,Perlis,1000,POINT (11157606.329523865 713457.2321468537),False,3753.2652801568065,Kampung Sentua,6.4051,100.1981,0.2,10.0
6.543708643,100.1842565,Kangar,Perlis,1000,POINT (11152460.419082709 730031.1016058363),False,5992.257236611656,Taman RPA Berseri Paya,6.5152,100.2298,0.5,10.0
6.281460539,100.2755694,Kangar,Perlis,1000,POINT (11162625.324613566 700653.9493379737),False,3435.0048298782654,2) Kampung Belukar,6.2523,100.266,0.3,11.0
6.373548572,100.1084176,Kangar,Perlis,1000,POINT (11144018.071352385 710967.9747665798),False,4621.877975866778,RPA Kuala Perlis,6.4028,100.1377,0.6,4.0
6.518879502,100.157355,Kangar,Perlis,1007,POINT (11149465.757801132 727249.0785808122),False,8075.0712370364245,Taman RPA Berseri Paya,6.5152,100.2298,0.5,10.0
6.398574398,100.3311697,Kangar,Perlis,1007,POINT (11168814.721697519 713771.2311823447),True,626.8755262731628,"2. Kampung Bendahara, KampungHutan
Palas",6.3994,100.3256,0.1,11.0
6.477354629,100.1978172,Kangar,Perlis,1007,POINT (11153969.989301508 722596.6616575958),False,3858.6431194601932,"Kawasan Kuaters
Kerajaan di Pejabat",6.4431,100.1942,0.4,6.0
6.364384685,100.2249121,Kangar,Perlis,1007,POINT (11156986.179772602 709941.5204073784),False,5450.5444143486,Kampung Sentua,6.4051,100.1981,0.2,10.0
6.381276074,100.2580383,Kangar,Perlis,1007,POINT (11160673.771488518 711833.5527364799),False,3637.8314438632456,Kg. Tambun Tulang,6.4123,100.2677,0.35,11.0
6.537961034,100.1532279,Kangar,Perlis,1007,POINT (11149006.33113068 729387.0887693529),False,8897.29826253194,Taman RPA Berseri Paya,6.5152,100.2298,0.5,10.0
6.368998379,100.1483007,Kangar,Perlis,1007,POINT (11148457.837735642 710458.3016955589),False,3059.2675900326394,Taman Semarak,6.3961,100.1449,0.3,4.0
6.574186525,100.2471811,Kangar,Perlis,1007,POINT (11159465.15351308 733446.2364770037),False,2082.3552391912554,Taman Beseri Jaya,6.559,100.2364,0.6,5.0
6.596668337,100.0404794,Kangar,Perlis,1009,POINT (11136455.225522975 735965.5226922669),False,18446.63893519006,Kampung Wang Kelian,6.6743,100.1866,0.5,10.0
6.423509699,100.0627484,Kangar,Perlis,1009,POINT (11138934.19926345 716564.4840496305),False,8538.936294413319,Kampung Nelayan,6.404,100.1369,0.6,4.0
6.571957133,100.0618878,Kangar,Perlis,1009,POINT (11138838.397709673 733196.4195669419),False,18007.768341982068,Kampung Wang Kelian,6.6743,100.1866,0.5,10.0
6.539548472,100.2218288,Kangar,Perlis,1009,POINT (11156642.94838664 729564.9585920713),False,2716.9000302613385,Taman Beseri Jaya,6.559,100.2364,0.6,5.0
6.368113427,100.0865417,Kangar,Perlis,1009,POINT (11141582.857303742 710359.1775891288),False,6894.0821891067035,RPA Kuala Perlis,6.4028,100.1377,0.6,4.0
6.488334585,100.3405445,Kangar,Perlis,1009,POINT (11169858.319659807 723826.8107047569),False,4084.2793317362048,"Kampung Felcra Ulu
Pauh",6.4527,100.3328,0.3,10.0
6.434766358,100.2503442,Kangar,Perlis,1009,POINT (11159817.268194407 717825.4999995085),False,2561.7747092320324,Kg. Tengah Titi Besi,6.4251,100.2712,0.35,11.0
6.360628356,100.2093193,Kangar,Perlis,1009,POINT (11155250.397216562 709520.7762653129),False,5135.61684044451,Kampung Sentua,6.4051,100.1981,0.2,10.0
6.343252078,100.1393846,Kangar,Perlis,1500,POINT (11147465.302023781 707574.5098452684),False,5951.301860349502,Taman Semarak,6.3961,100.1449,0.3,4.0
6.389561027,100.284858,Kangar,Perlis,1500,POINT (11163659.326835748 712761.5867728496),False,2221.9542445614193,"1. Taman Bahagia, Pekan Kodiang, Jalan
176 (Jitra-Kodiang)",6.3936,100.3044,0.3,11.0
6.557485859,100.1436023,Kangar,Perlis,1500,POINT (11147934.8142401 731574.8526583476),False,10331.58589918497,Taman Beseri Jaya,6.559,100.2364,0.6,5.0
6.431448906,100.2938355,Kangar,Perlis,1500,POINT (11164658.697564343 717453.8628602532),False,1128.8313440868137,"Kampung Guring, Arau",6.4259,100.3023,0.2,9.0
6.546528238,100.0402391,Kangar,Perlis,1500,POINT (11136428.475449337 730347.036622305),False,17541.070391020436,"Kampung Wang Besar,
Bintong, Perlis",6.4402,100.1559,0.45,6.0
6.520336288,100.3478678,Kangar,Perlis,1500,POINT (11170673.545686733 727412.3028184001),False,7440.47533197189,Kg. Ulu Pauh,6.4552,100.3609,0.5,11.0
6.309057386,100.2196543,Kangar,Perlis,1500,POINT (11156400.88415391 703744.6531684909),False,5960.07099829515,"Kuala
Sanglang",6.26,100.1989,0.5,11.0
6.45382807,100.1436957,Kangar,Perlis,1500,POINT (11147945.21148054 719960.9329400491),False,2043.677600203034,"Kampung Wang Besar,
Bintong, Perlis",6.4402,100.1559,0.45,6.0
6.278956256,100.0533902,Kangar,Perlis,1502,POINT (11137892.449204708 700373.4907418903),False,16336.59652714058,"Kuala
Sanglang",6.26,100.1989,0.5,11.0
6.286273279,100.2780142,Kangar,Perlis,1502,POINT (11162897.478504656 701192.9394568448),False,4032.861692773625,2) Kampung Belukar,6.2523,100.266,0.3,11.0
6.313537788,100.1157135,Kangar,Perlis,1502,POINT (11144830.247225264 704246.4504814313),False,9801.754405001353,Taman Semarak,6.3961,100.1449,0.3,4.0
6.525968122,100.1753095,Kangar,Perlis,1502,POINT (11151464.443598581 728043.3209031916),False,6184.678777766332,Taman RPA Berseri Paya,6.5152,100.2298,0.5,10.0
6.578503351,100.0517727,Kangar,Perlis,1502,POINT (11137712.38992835 733929.9662263392),False,18453.283580080133,Kampung Wang Kelian,6.6743,100.1866,0.5,10.0
6.392510839,100.1500896,Kangar,Perlis,1502,POINT (11148656.977172723 713092.0118198076),True,703.8333769366362,Taman Semarak,6.3961,100.1449,0.3,4.0
6.429486653,100.0584662,Kangar,Perlis,1502,POINT (11138457.506939974 717234.0428587259),False,9186.149071959224,Kampung Nelayan,6.404,100.1369,0.6,4.0
6.354486226,100.1319468,Kangar,Perlis,1502,POINT (11146637.329915158 708832.8066181766),False,4879.185593094267,Taman Semarak,6.3961,100.1449,0.3,4.0
6.555441182,100.2937274,Kangar,Perlis,1503,POINT (11164646.663927387 731345.7418285025),False,6394.104068776684,Taman Beseri Jaya,6.559,100.2364,0.6,5.0
6.28632513,100.1823446,Kangar,Perlis,1503,POINT (11152247.58734826 701198.7463999399),False,3476.7842336319804,"Kuala
Sanglang",6.26,100.1989,0.5,11.0
6.428922581,100.329827,Kangar,Perlis,1503,POINT (11168665.25301723 717170.8532497253),False,2684.183719301141,"Kampung Felcra Ulu
Pauh",6.4527,100.3328,0.3,10.0
6.48076714,100.2296888,Kangar,Perlis,1503,POINT (11157517.919584276 722978.982466266),False,3726.6588436166003,Kg Bukit Merah Hulu,6.5112,100.2432,1.0,10.0
6.287031252,100.2030554,Kangar,Perlis,1503,POINT (11154553.103058182 701277.827097714),False,3062.3717589441894,"Kuala
Sanglang",6.26,100.1989,0.5,11.0
6.458818646,100.1520243,Kangar,Perlis,1503,POINT (11148872.346991561 720520.0271721277),False,2129.9722224346165,"Kampung Wang Besar,
Bintong, Perlis",6.4402,100.1559,0.45,6.0
6.528008606,100.1049951,Kangar,Perlis,1503,POINT (11143637.080395145 728271.9484099165),False,11353.092306789664,"Kampung Wang Besar,
Bintong, Perlis",6.4402,100.1559,0.45,6.0
6.485071054,100.263169,Kangar,Perlis,1503,POINT (11161244.918399934 723461.1753349166),False,3675.803125361097,Kg Bukit Merah Hulu,6.5112,100.2432,1.0,10.0
6.44199146,100.0755104,Kangar,Perlis,1504,POINT (11140354.858604955 718634.8995341591),False,8050.7358264711065,Kampung Nelayan,6.404,100.1369,0.6,4.0
6.452609574,100.0359001,Kangar,Perlis,1504,POINT (11135945.460178785 719824.4256693478),False,12492.53963497489,Kampung Nelayan,6.404,100.1369,0.6,4.0
6.455401575,100.0997212,Kangar,Perlis,1504,POINT (11143049.992532652 720137.2121112568),False,6481.525978458198,"Kampung Wang Besar,
Bintong, Perlis",6.4402,100.1559,0.45,6.0
6.282477298,100.0687815,Kangar,Perlis,1504,POINT (11139605.800883355 700767.818164336),False,14701.825841974425,"Kuala
Sanglang",6.26,100.1989,0.5,11.0
6.578660819,100.1377821,Kangar,Perlis,1504,POINT (11147286.912539784 733947.611667478),False,11196.972184972516,Taman Beseri Jaya,6.559,100.2364,0.6,5.0
6.567134452,100.0586369,Kangar,Perlis,1504,POINT (11138476.509177053 732656.0127094445),False,17874.274423444254,"Kampung Wang Besar,
Bintong, Perlis",6.4402,100.1559,0.45,6.0
6.451222677,100.2272721,Kangar,Perlis,1504,POINT (11157248.893770875 719669.0529497066),False,3204.0622327742367,"Lorong Seri Embun, Taman Seri
Embun",6.4265,100.2128,0.5,10.0
6.496637576,100.2743944,Kangar,Perlis,1504,POINT (11162494.524211884 724757.0614192795),False,3836.7470203443027,Kg Bukit Merah Hulu,6.5112,100.2432,1.0,10.0
6.319238326,100.1234535,Kangar,Perlis,1505,POINT (11145691.860084005 704884.90720277),False,8934.046952591863,Taman Semarak,6.3961,100.1449,0.3,4.0
6.458135119,100.0374286,Kangar,Perlis,1505,POINT (11136115.612020463 720443.451316199),False,12625.026366827553,Kampung Nelayan,6.404,100.1369,0.6,4.0
6.470175721,100.3196034,Kangar,Perlis,1505,POINT (11167527.167071156 721792.3808461948),False,2447.6831943594107,"Kampung Felcra Ulu
Pauh",6.4527,100.3328,0.3,10.0
6.504617023,100.1029952,Kangar,Perlis,1505,POINT (11143414.452545509 725651.0773685125),False,9314.905828291046,"Kampung Wang Besar,
Bintong, Perlis",6.4402,100.1559,0.45,6.0
6.374617807,100.2053099,Kangar,Perlis,1505,POINT (11154804.072850175 711087.7418337474),False,3507.5354227934517,Kampung Sentua,6.4051,100.1981,0.2,10.0
